rep_id	order	normalizer_order	conjugacy_class_size	elapsed_ms
1	47377612800	47377612800	1	0
11	2448	2448	19353600	3
13	16	64	740275200	4
59	979200	1958400	24192	2
66	1814400	3628800	13056	2
85	32	128	370137600	6
92	128	512	92534400	4
106	512	1024	46267200	5
247	20160	20160	2350080	13
248	20160	40320	1175040	4
316	181440	362880	130560	34
399	1451520	2903040	16320	2
400	1451520	8709120	5440	1
456	64	512	92534400	4
527	256	2048	23133600	4
576	360	1440	32901120	5
577	360	1440	32901120	1
809	4080	16320	2903040	4
810	4080	16320	2903040	2
1047	2520	5040	9400320	2
1251	20160	80640	587520	8
1543	2048	8192	5783400	3
1871	60	960	49351680	5
1872	60	240	197406720	2
1873	60	480	98703360	3
2094	60	120	394813440	3
2235	192	384	123379200	4
2581	504	9072	5222400	3
2811	1024	2048	23133600	3
3006	2520	30240	1566720	5
3097	168	672	70502400	9
3270	504	3024	15667200	2
3485	168	2016	23500800	7
3486	168	336	141004800	2
3488	168	336	141004800	35
3519	360	4320	10967040	6
4127	6048	72576	652800	10
4538	504	1008	47001600	2
4539	504	1008	47001600	2
4835	20160	241920	195840	2
4845	504	1512	31334400	2
4891	25920	311040	152320	2
5427	6048	24192	1958400	2
6810	60	7200	6580224	5
6811	60	86400	548352	3
7919	360	34560	1370880	4
9055	168	1008	47001600	5
9452	60	720	65802240	4
9700	432	1728	27417600	3
18865	60	86400	548352	3
19195	60	5760	8225280	5
20941	360	518400	91392	3
22584	120	960	49351680	1
23457	192	768	61689600	4
26732	768	3072	15422400	3
29775	1536	12288	3855600	3
30502	1536	12288	3855600	6
32126	256	2048	23133600	38
52578	60	2880	16450560	4
66224	512	2048	23133600	4
87513	1024	4096	11566800	3
92105	2048	16384	2891700	4
95995	2048	32768	1445850	3
98473	2048	8192	5783400	3
99545	2048	16384	2891700	2
104913	2048	8192	5783400	7
107248	256	4096	11566800	3
116228	512	8192	5783400	3
123703	128	1024	46267200	3
126819	1024	8192	5783400	5
129145	1024	32768	1445850	3
140949	64	12288	3855600	1
182023	256	4096	11566800	8
194995	128	2048	23133600	12
220212	256	2048	23133600	4
227179	512	4096	11566800	4
229467	512	16384	2891700	6
230625	512	4096	11566800	4
232520	512	8192	5783400	4
239934	512	8192	5783400	4
242141	512	4096	11566800	3
244466	512	4096	11566800	5
254147	1024	8192	5783400	36
265453	2048	8192	5783400	3
267521	64	4096	11566800	4
279329	256	4096	11566800	4
290571	256	8192	5783400	3
303921	256	8192	5783400	4
310850	512	8192	5783400	3
311268	512	16384	2891700	8
323997	16	8192	5783400	6
332914	64	12288	3855600	4
340405	64	2048	23133600	4
360581	128	2048	23133600	4
362560	128	2048	23133600	5
398122	128	4096	11566800	3
398684	128	4096	11566800	7
399789	128	4096	11566800	3
408812	64	4096	11566800	4
435820	32	512	92534400	4
436465	32	512	92534400	8
442690	64	2048	23133600	4
450618	16	1024	46267200	8
453859	32	1024	46267200	5
459228	128	4096	11566800	4
467092	256	4096	11566800	6
471395	256	4096	11566800	37
473634	256	4096	11566800	4
482000	256	4096	11566800	4
495256	256	4096	11566800	4
511625	1024	4096	11566800	6
512155	1024	4096	11566800	3
515967	64	1024	46267200	3
519574	128	2048	23133600	9
519969	128	4096	11566800	4
523810	128	4096	11566800	4
529473	32	2048	23133600	4
553334	32	2048	23133600	6
558046	32	1024	46267200	4
567788	64	4096	11566800	4
579791	64	2048	23133600	8
583560	64	2048	23133600	4
583742	64	2048	23133600	4
596930	32	2048	23133600	5
613503	16	2048	23133600	4
619947	64	2048	23133600	4
637022	128	2048	23133600	5
645558	512	4096	11566800	4
645795	256	4096	11566800	5
654055	16	8192	5783400	5
656950	128	1024	46267200	5
656965	32	2048	23133600	6
656966	64	512	92534400	39
656969	174182400	348364800	136	3
656970	197406720	394813440	120	2
656971	168	336	141004800	3
656976	181440	181440	261120	69
656977	1451520	1451520	32640	9
656999	25920	155520	304640	2
